3748
3
en_	-3.42
de_	-4.23
_de	-4.35
et_	-4.51
an_	-4.58
_he	-4.85
er_	-4.87
_va	-4.97
van	-5.02
een	-5.07
aar	-5.2
_ee	-5.2
het	-5.2
ver	-5.21
ing	-5.28
oor	-5.29
nde	-5.3
den	-5.31
_ge	-5.34
ten	-5.34
_in	-5.35
at_	-5.35
der	-5.36
te_	-5.4
_da	-5.46
ie_	-5.46
_be	-5.46
gen	-5.48
_en	-5.5
in_	-5.54
_vo	-5.55
ar_	-5.56
_me	-5.57
_te	-5.59
_st	-5.63
ng_	-5.64
ste	-5.67
aan	-5.71
ers	-5.72
_ve	-5.73
_zi	-5.75
voo	-5.76
_we	-5.76
is_	-5.78
sch	-5.8
ter	-5.8
or_	-5.8
_op	-5.82
cht	-5.83
ijk	-5.83
eer	-5.84
dat	-5.86
lij	-5.86
el_	-5.87
ent	-5.89
die	-5.9
ere	-5.92
ren	-5.94
_di	-5.94
and	-5.95
ij_	-5.97
_is	-5.98
ond	-6
ijn	-6.01
_al	-6.02
ken	-6.02
it_	-6.03
nie	-6.05
men	-6.05
_on	-6.06
op_	-6.07
nge	-6.1
iet	-6.1
_wa	-6.1
erd	-6.11
stu	-6.11
rde	-6.12
ens	-6.13
eli	-6.13
jn_	-6.14
_aa	-6.14
_ni	-6.14
tie	-6.15
lle	-6.15
zij	-6.19
_ma	-6.2
nd_	-6.21
end	-6.23
nte	-6.26
al_	-6.27
ede	-6.27
_De	-6.27
uit	-6.28
tud	-6.28
est	-6.29
eel	-6.3
ord	-6.31
ude	-6.31
met	-6.31
len	-6.32
ite	-6.34
gel	-6.37
_ze	-6.37
maa	-6.4
ove	-6.4
_mo	-6.41
ege	-6.41
De_	-6.43
ls_	-6.44
_bi	-6.45
ele	-6.46
st_	-6.47
es_	-6.48
jk_	-6.5
nen	-6.51
ze_	-6.51
ven	-6.51
_zo	-6.52
eid	-6.52
_er	-6.53
lan	-6.53
erk	-6.53
ns_	-6.54
ich	-6.54
eve	-6.55
nt_	-6.55
_to	-6.55
aat	-6.55
ige	-6.56
rs_	-6.56
eld	-6.56
je_	-6.57
bij	-6.57
_do	-6.58
mee	-6.6
_ui	-6.6
sta	-6.6
_na	-6.61
_wo	-6.61
eri	-6.61
eit	-6.61
om_	-6.62
ge_	-6.62
_om	-6.62
rij	-6.63
ati	-6.63
wer	-6.64
ete	-6.66
_re	-6.66
_ho	-6.67
tei	-6.68
_pr	-6.68
ch_	-6.69
_no	-6.71
wor	-6.71
_ha	-6.71
ek_	-6.72
ig_	-6.72
_mi	-6.72
eke	-6.73
tel	-6.74
ien	-6.75
_ov	-6.75
als	-6.75
rd_	-6.75
sen	-6.76
moe	-6.76
ht_	-6.76
re_	-6.77
rin	-6.78
ind	-6.8
wee	-6.8
ach	-6.8
ang	-6.81
_He	-6.82
hee	-6.83
le_	-6.83
pro	-6.84
nne	-6.85
eze	-6.85
raa	-6.85
ld_	-6.86
ft_	-6.86
kt_	-6.87
oet	-6.88
uur	-6.89
ist	-6.89
rt_	-6.9
ier	-6.9
ech	-6.9
ok_	-6.91
_oo	-6.91
_ko	-6.92
lin	-6.93
aal	-6.93
ant	-6.93
_le	-6.94
ert	-6.94
_la	-6.94
hte	-6.95
wel	-6.95
og_	-6.96
sit	-6.96
gro	-6.96
se_	-6.96
del	-6.97
all	-6.97
ijd	-6.98
ger	-6.99
ke_	-6.99
_hi	-7
ges	-7
ive	-7.01
wij	-7.02
ik_	-7.02
_co	-7.02
_ja	-7.02
waa	-7.02
_wi	-7.03
pen	-7.03
oek	-7.03
isc	-7.03
dan	-7.03
dt_	-7.03
Het	-7.04
eef	-7.05
nis	-7.05
eft	-7.05
dig	-7.06
roe	-7.06
taa	-7.06
bes	-7.07
erl	-7.07
che	-7.08
rst	-7.08
nst	-7.08
tij	-7.08
_je	-7.09
ame	-7.09
doo	-7.09
id_	-7.1
gev	-7.1
_gr	-7.1
ook	-7.1
kun	-7.1
kke	-7.11
_ga	-7.11
_ka	-7.11
kom	-7.11
as_	-7.11
daa	-7.11
naa	-7.12
_li	-7.12
rsi	-7.12
niv	-7.12
rie	-7.12
nog	-7.13
_vi	-7.13
ben	-7.14
lde	-7.14
per	-7.14
ker	-7.14
heb	-7.14
lee	-7.15
oen	-7.16
nin	-7.16
erw	-7.16
lei	-7.16
ron	-7.17
_vr	-7.17
jke	-7.17
ies	-7.17
sse	-7.18
oud	-7.18
_ik	-7.18
zic	-7.19
of_	-7.19
sti	-7.2
ad_	-7.2
tuu	-7.2
ome	-7.2
ag_	-7.2
_af	-7.21
vol	-7.21
ngs	-7.21
ur_	-7.22
gaa	-7.22
_sc	-7.22
min	-7.22
jaa	-7.22
_Da	-7.22
us_	-7.22
kel	-7.23
tte	-7.23
uni	-7.23
hei	-7.24
eme	-7.24
udi	-7.24
ate	-7.24
ot_	-7.24
hij	-7.25
laa	-7.25
ee_	-7.26
hoo	-7.26
are	-7.27
ort	-7.27
_hu	-7.28
cha	-7.28
age	-7.28
str	-7.29
gin	-7.29
kan	-7.29
oed	-7.3
ts_	-7.3
tre	-7.31
mer	-7.32
eni	-7.32
tra	-7.33
geb	-7.33
_an	-7.33
ont	-7.33
_In	-7.33
uwe	-7.34
man	-7.35
ale	-7.36
leg	-7.36
vee	-7.36
zie	-7.36
oge	-7.36
chi	-7.36
ouw	-7.36
art	-7.36
toe	-7.37
ijf	-7.37
was	-7.38
erz	-7.38
gee	-7.38
_un	-7.38
ell	-7.38
aak	-7.38
iek	-7.39
ene	-7.39
_of	-7.39
rec	-7.4
bbe	-7.41
ijs	-7.42
din	-7.42
tin	-7.43
_sp	-7.43
ree	-7.44
_kr	-7.44
ake	-7.44
zel	-7.44
ide	-7.45
zen	-7.45
bel	-7.46
we_	-7.46
erg	-7.46
_bl	-7.47
elf	-7.47
gt_	-7.47
ini	-7.47
eur	-7.48
haa	-7.48
ult	-7.48
_ti	-7.49
ran	-7.49
dee	-7.5
tig	-7.5
zoe	-7.5
_ku	-7.5
pla	-7.5
ema	-7.5
ndi	-7.5
un_	-7.51
oni	-7.51
cen	-7.51
ebb	-7.51
_Ma	-7.52
ard	-7.52
ed_	-7.52
dez	-7.53
era	-7.53
lie	-7.53
vin	-7.53
ieu	-7.53
nse	-7.53
orm	-7.54
doe	-7.54
con	-7.54
bet	-7.54
_za	-7.55
wat	-7.55
cul	-7.56
he_	-7.57
ast	-7.57
tee	-7.57
res	-7.57
ssi	-7.57
nee	-7.58
rdt	-7.58
tot	-7.58
_bo	-7.59
_Gr	-7.59
euw	-7.59
rwi	-7.59
ats	-7.59
bli	-7.6
erv	-7.6
ein	-7.6
one	-7.61
hou	-7.61
ans	-7.61
spr	-7.61
cho	-7.61
_pa	-7.61
_pl	-7.62
sie	-7.62
pre	-7.62
on_	-7.62
lge	-7.62
ari	-7.63
ope	-7.63
_dr	-7.63
oll	-7.63
olg	-7.64
ied	-7.64
esc	-7.64
rui	-7.65
rke	-7.65
ees	-7.65
_ke	-7.65
_kl	-7.65
tal	-7.65
hie	-7.65
rli	-7.66
_pe	-7.66
jd_	-7.67
sto	-7.67
rek	-7.67
_tw	-7.67
_ei	-7.67
och	-7.68
ler	-7.68
els	-7.68
kin	-7.68
erh	-7.68
_nu	-7.68
ak_	-7.68
ong	-7.68
ber	-7.68
_go	-7.69
hun	-7.69
_du	-7.69
iti	-7.69
_Al	-7.69
hap	-7.69
uis	-7.7
twe	-7.7
_En	-7.7
ne_	-7.7
